timestamp,station_id,city_name,url,latitude,longitude,aqi,co,temperature,wind,atmospheric_pressure,humidity,pm25,pm10,o3,no2
2025-03-04 22:00:00,12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,16.46226,107.596351,54,10,26,0.7,1006.5,94,54,37,2,5
2025-03-04 23:00:00,12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,16.46226,107.596351,59,8,26,1,1006.5,94,59,40,2,5
2025-03-05 00:00:00,12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,16.46226,107.596351,59,7,25,1,1006.5,97,59,40,1,5
2025-03-05 01:00:00,12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,16.46226,107.596351,52,4,25,1.2,1006,94,52,35,2,5
2025-03-05 02:00:00,12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,16.46226,107.596351,45,3,25,0.5,1006,94,45,31,2,5
2025-03-05 03:00:00,12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,16.46226,107.596351,43,4,25,0.7,1006,94,43,30,2,6
2025-03-05 03:00:00,12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,16.46226,107.596351,43,5,25,1.5,1006,94,43,31,2,6
2025-03-05 05:00:00,12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,16.46226,107.596351,48,7,25,0.5,1006.5,94,48,33,1,5
2025-03-05 07:00:00,12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,16.46226,107.596351,57,24,25.5,0.7,1007.5,94,57,38,1,5
2025-03-05 08:00:00,12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,16.46226,107.596351,58,11,27,1,1008,88.5,58,39,2,5
2025-03-05 09:00:00,12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,16.46226,107.596351,54,6,29.5,1,1008.5,76.5,54,36,4,6
2025-03-05 10:00:00,12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,16.46226,107.596351,50,7,32,1.5,1008,64,50,33,7,6
2025-03-05 11:00:00,12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,16.46226,107.596351,49,7,33,2.3,1007,64,49,33,12,6
